Question,PlainTextAnswer,MLAI's ChatGPT Responses
What type of bank accounts in Canada can be used for ACSS?,You can use consumer checking account or a consumer savings account with a bank affiliated to the ACSS network in Canada. You can also use your consumer money market accounts for online transfers.,
What is the procedure for Net Express UK?,"""Please login to your Money2India account using your existing Money2India user ID and password using the below mentioned link:  https://money2india.icicibank.com/newm2iNet/  Please follow the steps for initiating Net Express transaction: 1. Fill in the transfer amount. 2. If you are transferring money for the first time with Money2India, complete your profile.  3. Select recipient or add new recipient and continue. 4. Select bank account or add new one to make payment. 5. Confirm and log in to your local bank s internet banking and initiate funding as per instructions stated.  Once you initiate your transfer request via Money2India, you will have to fund your transfer request using your local bank account. Following are the steps to fund your transfer: 1. Log on to the Internet banking application of your bank in UK. 2. Go to the module that enables you to Pay/Transfer funds to another bank account. 3. In the module, select your bank account no. and enter the mandatory transfer details. 4. Confirm the third party payment/ fund transfer, to complete the money transfer request.   Enter the Tracking Number in the field provided for Message to recipient or Purpose of payment or Payment Reference. Please note that unless we receive the complete Tracking Number with your funds, we will not be able to process your transaction. So check with your bank (or on your banks Web site) about which field to use to send a personalized message to the recipient.  Enter the third party account details as follows: 1. Recipient Name: Recipient Name ICICI Bank 2. Recipient Bank: ICICI Bank UK PLC 3. Recipient Bank Clearing / Sort Code: 160034 4. Recipient Account Number: 10008091  We look forward to more opportunities to be of service to you.  Money2India Terms & Conditions apply  The Money2India Service is being provided in accordance with the specific terms and conditions mentioned on the Money2India Webpage at : https://www.icicibank.com/nri-banking/RHStemp/terms-and-conditions-m2i.page """,
What are the daily usage limits for my debit card for usage at ATMs and merchant outlets?,"To view/ update your ATM/ Debit Card withdrawal/ e-commerce/ Point of Sale (POS) limits, please go to Customer Service > Service Requests > Bank Accounts > under Debit Card Related, click on “Increase/ Decrease Debit Card Limit” > Select your Account and Debit Card to view or increase/decrease the Debit Card limits.",
By when should I file my tax returns?,"July 31st of every year is the due date for filing income tax returns for salaried tax payers and for non-corporate assesses whose accounts are not required to be audited, while September 30th is the due date for companies, persons other than companies and working partners of firms whose accounts are required to be audited under the Income Tax Act, 1961 or any other law.",
"I have deposited a local cheque in my account, but why is it still not credited?",The Turn Around Time (TAT) for cheques deposited by you is as follows:ICICI Bank cheques deposited in:ICICI Bank branch across the counter will be credited to the account within 1 working dayICICI Bank drop box or ATM drop box will be credited to the account within 2 working days.A local Non-ICICI Bank cheque deposited in:ICICI Bank branch across the counter will be credited to the account within 3 working daysICICI Bank drop box or ATM drop box will be credited to the account within 4 working days.In case the cheque is not credited to your account beyond the above mentioned time.Internet Banking:Please login to www.icicibank.com with your User ID and Password > Customer Service > Service Requests > Bank Accounts > More > Cheque related > Local Cheque deposited in Bank Account but not creditedPlease click here https://infinity.icicibank.com/corp/AuthenticationController?FORMSGROUP_ID__=AuthenticationFG&__START_TRAN_FLAG__=Y&FG_BUTTONS__=LOAD&ACTION.LOAD=Y&AuthenticationFG.LOGIN_FLAG=1&BANK_ID=ICI&CTA_FLAG=CTASRCQC to navigate.,
What is one time declaration in wire transfer?,"If your receiving inward remittance from the same remitter for the same purpose at a regular interval, then you can visit your ICICI Bank Retail Internet Banking Portal and submit one-time declaration for selected Purposes for one Financial year.For this login to your Internet Banking and follow the below steps:• Go to Payment & Transfer > My Transaction > Wire Transaction.• Select the account number• Select “Annual One-time Declaration”",
Can I continue to operate my resident account if I open NRI account?,When you attain non-resident status you must re-designate your resident account to an NRO (Non-Resident Ordinary) account.,
How do I register my number for internet banking alerts?,"In case your mobile number is already registered in your account, yet you are not getting alerts for doing transactions through Internet Banking, please call our Customer Care from your registered mobile number to update the mobile number for Internet Banking alerts. Please click here https://www.icicibank.com/customer-care.page to know the Customer Care numbers.You will not be able to pull URN, if your registered mobile number is an international number, as the option is currently unavailable.",
How do I approve tax payments?,Click here nanorep://#taxApproval for tax approvals.,
What Is Concept Of Certificate?,Bank will ask client to provide either self signed certificate (SSL) or by any trusted third party to validate the key shared is by genuine & bona fide customer,
What are the transaction charges on UPI QR Code?,There are zero transaction charges on Collect through UPI QR Code.,
What is ICICI Bank NRI Premia Family Banking?,"NRI Family Banking is a product in which an NRI Premia customer can link the ICICI Bank Savings account of his family members in India to his NRI account and thus, group their respective relationships (Savings Account, Term Deposit, Recurring Deposit), i.e. their Customer IDs with ICICI Bank, under a single ID called the 'Family ID'.",
What is Standing Instruction ?,"{""title"":"""",""options"":[{""title"":""Standing Instructions"",""kind"":""articleTitle"",""type"":""quick"",""events"":[],""content"":""2138964763|Start/stop ECS and BIll payment""}],""content"":""Standing instruction is advisable in case of fixed regular payments. Through standing instruction you can give ICICI bank permission to auto debit your policy premium amount/loan periodically when it’s due.  To setup/ stop standing instructions please click below."",""isCTA"":true}",
Can I get the OTP on my registered e mail ID?,"For security reasons, we will be unable to provide the OTP through e-mail. However, you can avail the OTP by calling our Customer Care from your registered mobile number. Authenticate yourself by entering your 16-digit ATM/Debit Card number and 4-digit ATM/Debit Card PIN (Personal Identification Number). Our officer will provide you the OTP after verifications.click here to call 1860 120 6699 http://1860 120 6699 .",
Money2World offer details,Please click here https://www.icicibank.com/Personal-Banking/onlineservice/online-services/FundsTransfer/outward-remittance/online-transfer/index.page?  and refer the 'Offer' section on the page for knowing on-going offer of Money2World.,
How will API help the business of clients?,No need to visit bank/ bank site for txn processing Automated reconciliation to save time Improved operational efficiency Real time status of txn on client’s platform itself Saves manpower effort and cost Access to transaction banking systems directly from customer ERP on the click of a button,
How can I upgrade my account to Privilege Banking Account?,You can upgrade your account through iMobile by going to 'Accounts & Deposit' tile on iMobile Pay dashboard.You can also navigate by clicking here nanorep://#accountUpgrade .,
Does my initial deposit into HiSAVE Remittance Account need to come from my nominated linked account?,"This account no longer exists. For any remittance requirements, please open a HomeVantage Current Account with us through ICICI UK iMobile App",
How to set up standing instruction for fund transfer to a Non-ICICI Bank payee?,"You may schedule the transfer of funds to other ICICI Bank Account (Standing Instruction) online with the following steps:Internet Banking: Login to www.icicibank.com with your user ID and password > Payments & Transfer > Fund Transfer > Transfer Funds to Any other ICICI Bank account > Transfer Now > Select payee account > Select Payment type as 'Recurring' > Enter the payment date, payment frequency and number of payments.The funds will be transferred to the beneficiary account on the scheduled date, subject to available balance.Note: Schedule fund transfer for non icici bank only available on NEFT mode.",
"My Card is lost, How can I request to deactivate my ATM/Debit Card?","You can request to deactivate (Hotlist) your ATM/Debit Card by applying Online through ""Service Request"" option available in your Internet Banking. Alternatively, you can also make the request by calling our 24-hour Customer Care.",
How do I get a detailed statement of my Travel Card?,"You can check your Travel Card statement from ICICI Bank here nanorep://#frxReldTC .Besides, you will receive the statement every month at your registered e-mail ID.",
What is the procedure to follow if my debit card PIN is blocked?,"For security reasons, your debit card will be blocked if there are 3 consecutive wrong PIN attempts on the account. However, the card will be activated automatically after 12:00 a.m.If you have forgotten the debit card PIN and want to generate the new PIN, click here javascript:cmCodeRedirection('PINCHG') . You may also go to Customer Service > Service Requests > Bank Accounts > More > ATM/Debit Card Related > Generate Debit Card PIN > Enter the required details and Submit.",
Call RM,Click here nanorep://#CallRmPage to call your relationship manager,
Can I transfer funds from a third party account in Online transfer?,No. The funds should debit from the registered account number only,
How many e-mail IDs can I register for a statement? How can I modify those e-mail IDs?,"You can update contact details like mobile number, e-mail ID, address by visiting the nearest ICICI Bank branch along with request letter signed as per Mode of Operation (MOP) on entity letter head. Once the request is made, your contact details will be updated in 1 working day.",
What are the features for Power Transfer UK?,"Power Transfer is partly online and partly offline. It is an online wire transfer channel which helps you send money to India. It is simple web-based wire Transfer. It takes 2-3 working days from the time of the request.Power Transfer Transaction Limits (in INR) for United Kingdom:1. Power Transfer (Fixed Rupee): Delivery Mode: ICICI Bank A/c, Non-ICICI Bank A/ca) Daily 4,00,000.00b) Weekly 1,00,00,000.00c) Min Limit 1,000.00.2. Power Transfer (Fixed Rupee): Delivery Mode: Demand Drafta) Daily 1,20,000.00b) Weekly 6,00,000.00c) Min Limit 1,000.00.3. Power Transfer (Regular Mode): Delivery Mode: ICICI Bank A/c, Non-ICICI Bank A/c& Demand Drafta) Daily 1,00,00,000.00b) Weekly No limitc) Min Limit 50.00.Charges:a) 0.65% of transaction amount (in INR).",
Can HiSAVE Notice Savings be opened jointly?,"Yes, it can be opened in either single or joint mode.",
How do I update my PAN in my credit card?,"{""title"":"""",""options"":[{""title"":""Demo Video"",""kind"":""url"",""type"":""quick"",""events"":[],""content"":""https://youtu.be/g_wbCbXZ-bg""}],""content"":""To update PAN in your credit card, please call our Customer Care between 7:00 a.m. and 9:00 p.m. To know the Customer Care numbers, please click here ""https://www.icicibank.com/customer-care.page .Alternatively, you may visit the nearest ICICI Bank branch to update PAN."",""isCTA"":true}",
When will the interest charge stop on my credit card?,"Once complete outstanding dues are paid as per the statement and within due date, the interest charges will cease to apply immediately.",
How can I apply for a Personal Loan ?,"Now NRIs can apply personal loans. Apply online with Easy documentation, Quicker processing, Lower interest rates, Tenure up to 36 months.Please click here https://www.icicibank.com/Personal-Banking/loans/personal-loan/nri-personal-loan.page?#toptitle to Apply for Personal loan.",
Where will these Tokens get used?,"Once created, the Tokenised card details will be used in place of an actual card number for future online purchases initiated or instructed by the card holder.",
How  to cancel my fund transfer request?,"If you wish to cancel or modify a recurrent direct debit request or future dated/scheduled instructions, please log into online banking and go to the 'Transfer Money' section. Alternatively, call us on 0344 412 4444 (Calls to this number use free plan minutes if available, otherwise they cost the same as 01/02 prefix calls) and place your request.",
Is rate of interest for Home Loan different for woman applicant ?,"No, there is no preferential rate applicable for women borrower.",
Can I download the i-safe application on my international mobile number?,"You cannot download the i-safe application on your international mobile number. However, you can download the i-safe application on your Indian mobile number registered in CIB and after successful activation, you can access the application from any mobile number.",
What is ICICI Bank MCLR rate?,The MCLR will be tenure linked rate which has to be reviewed and published every month on a pre-announced date. Please click here http://What is ICICI Bank MCLR rate? for existing bank MCLR.,
What is 'Pay Any Visa Credit Card' service?,"Pay Any Visa Credit Card' is a service that allows you to transfer funds to any Visa credit card in India from your ICICI Bank Account. The maximum amount of transaction limit is Rs. 1,00,000.",
How many Customer IDs can I link with my UK user ID?,You will only be able to link one customer ID at a time.,
Why choose Rupee Plus Plan?,"Depending on the current forex market scenario, there may be an opportunity to earn higher returns in a Rupee Plus Plan as compared to other traditional fixed deposits. Funds are fully repatriable and interest earned is tax free in India.",
What the charges for the cheque rejection issued by me?,You will be charged GBP 15. For more information Please visit http://www.icicibank.co.uk/personal/branch-banking/homevantage-current-account.page?,
How much time will it take to get the IMPS amount into my NRO account?,"For successful transactions, the funds get credited into the beneficiary's account instantly.",
"My credit card expired, but I have not yet received my new card. How do I get my new credit card?","The renewed card will be dispatched to you well in advance i.e. 45 days before the card expiry date. You can track your Credit Card using Track deliverables nanorep://#trackurdeli option.In case you are unable to fetch the details, you may raise a complaint for non-receipt of your credit card through Internet Banking or call our Customer Care https://www.icicibank.com/customer-care.page? on 1860 120 7777 between 07:00 am to 09:00 pm from your registered mobile number.",
Is Smart Money Order available for all the locations in India?,"Yes, ICICI Bank's Smart Money Order service gives you the power to send money to any location in India.",
Is tokenisation of card is mandatory?,"No, tokenisation of card is not mandatory. You can choose whether to card tokenised or not. If not Tokenised, starting 1st Jan 2022, the card holder must enter the full card number, CVV and Expiry date every time to complete their online transactions.",
How we will get the logic for encryption & decryption?,It is available on ICICI Bank Developer Portal,
How can I transfer funds from my other bank's Savings Account to my ICICI Bank PPF Account?,"You can now transfer funds to PPF account from your other bank Savings Account through NEFT. Steps to fund your PPF account through other bank account: Log in to Internet Banking or mobile app of other bank.  Add your PPF account as a beneficiary under other bank account.  While adding PPF account as a beneficiary, make sure to use the IFSC code of the PPF account only. Once added, your PPF account number will reflect under payee list. Post adding the beneficiary successfully, you may initiate the transfer.",
How can I check if my debit card is eligible for airport lounge access or not?,"You need to have a NRE World Debit card for domestic and international lounge access If you have NRE Platinum debit card , you can have domestic lounge access.",
In Eazypay until when are these transaction status available?,"Transaction statuses done over the last 3 months are available, or as decided by ICICI Bank's internal policies which is updated from time to time, without any prior intimation to the payers.",
Can funds in the RFC Fixed Deposits account be repatriated abroad?,"The funds in an RFC account are free from all restrictions regarding utilisation of foreign currency balances. They can be invested in the OBU Singapore Deposits, but not in OBU Seepz, in view of the restriction that the OBU Seepz cannot accept deposits from persons resident in India.",
How to know about Inward Remittance?,"{""title"":"""",""options"":[{""title"":""Money2India"",""kind"":""articleTitle"",""type"":""persist"",""events"":[],""content"":""2138804203|I have a query regarding Money2India""},{""title"":""Wire Transfer"",""kind"":""articleTitle"",""type"":""persist"",""events"":[],""content"":""2138804333|Fund Transfer using wire transfer""}],""content"":""For transferring funds from overseas accounts, you can use our online portal Money2India. Alternatively, you can also use Wire Transfers, offline mode of transferring money to India."",""isCTA"":true}",
"I didn't complete my Video KYC during Money2World Registration, can I do it now?","Yes, you can complete your KYC instantly using Video KYC. Please log in to Money2World and visit My Profile page for initiating Video KYC by clicking on Video KYC tab. You can also start Video KYC by clicking on ‘Validate Registration’. Video KYC link will only be active for <72> working hours after the completion of EKYC.",
How to update mobile number?,"{""title"":"""",""options"":[{""title"":""Savings Account"",""content"":""2140152903"",""type"":""quick"",""kind"":""articleTitle"",""options"":[]},{""title"":""Credit Card"",""content"":""2140141903"",""type"":""quick"",""kind"":""articleTitle"",""options"":[]},{""title"":""Home Loan"",""content"":""2179005293"",""type"":""quick"",""kind"":""articleTitle"",""options"":[]}],""content"":""Please select the account type""}",
How do I check Personal Loan EMI?,Please click here https://www.icicibank.com/calculator/personal-loan-emi-calculator.page?#toptitle to check the Personal Loan EMI calculator.,
How to do Grid card validation ?,"You have been issued Debit Card which will contain an 8X2 grid table at the back of the card. As per the new security measure, the system will prompt the customer to provide 3 randomly selected grid values printed on the back of the Debit Card. By entering correct grid values, the verification will be completed.If you are not able to view the grid values on your card, please call our Customer Care and make a request for the new card.To know the local Customer Care numbers, please click here http://www.icicibank.com/customer-care.page .",
How to view a particular payment made to the biller ?,"To view the status of your bill payments made, Please go to Bill pay> My Bills > My Registred Biller",
Can I do recharge through Pockets?,"Yes. Recharge can be done for prepaid mobile, DTH, Google Play and FASTag.",
"If the recurring transaction for my card is declined, whom should I contact?","You will have to contact the Merchant/Service provider, with whom you have registered the Standing Instructions.",
How to check the next level approver for pending Employee Provident Fund Organisation (EPFO) transaction?,You can check the next level approver for pending transaction through the below path:Tax > Tax Payments > Direct Tax > Tax payment > Approval > pending Approval of Corporate,
How to start Systematic Investment Plan?,You may go to 'Investments & Insurance' > Invest Online > Mutual Funds > Click on 'Invest in Mutual Funds' > Click on 'Invest Now' > Choose Monthly > Enter amount and other details > Click on 'Add to Cart' > Provide the required details in the investment cart > Choose account to debit > Place order for SIP. The units purchased will reflect in your portfolio in 4 days from the date of purchase.,
What is FD Card?,FD Card offers customers a Credit Card against their Fixed Deposit with 85% of FD value as limit on Credit Card. T&C apply. Click here nanorep://#openccfdI  to apply.,
What is a Virtual debit card?,"You can spot your Debit Card Details I.e. Card Number, Expiry from and thru date, CVV.You can access the feature in Cards & Loans > Debit/ATM Card. You need to enter OTP at card level to view the Details.Note: This functionality is available for active debit card.",
"How do I block my FASTag account, in case my vehicle is lost ?",Please call our 24 hour customer care @ Toll Free Number: 1800 2100 104 or chargeable Number: 1860 2670 104 to block your FASTag account.,
Do I need to have GPRS on my phone in order to use the i-safe application?,"To activate the i-safe application and generate an OTP or URN, you would require GPRS on your mobile phone or internet connection on your desktop or laptop. However, to use the application and then subsequently generate OTP or URN, you would not require GPRS or internet connection.",
How can I update my international mobile number in Savings Account?,"To update your overseas mobile number in your resident account, please follow the below steps, if the duration of your overseas stay is less than 180 days:1. Call our Customer Care from your international number2. Note down the Service Request number shared by our Executive3. Download the request form available under the Form Center on our website4. Dully fill in the request form and send it to the address mentioned on the form, within 7 working days5. Post receipt of the form, we shall update the mobile number on your account within 7 working days.Note:1. If your duration of the stay is greater than 180 days, please convert your account to NRO account. You may go to Customer Service > Service Requests > Bank Accounts > Request for Conversion of SB Account to NRO Account.2. Request will be completed only if the form is dully filled in and the Service Request number is mentioned on the form.You may click here https://www.icicibank.com/managed-assets/docs/form-center/overseas-mobile-number-updation-form-for-resident-customers.pdf to download the form.ORGo to www.icicibank.com http://www.icicibank.com > Others > Form Center > Personal Banking > Sign Up For > Overseas Mobile Number Updation Form for Resident Customer.",
Can Account Aggregator view my bank statement?,Account Aggregators are data blind entities. They cannot view customer data,
How do I de-activate my Internet Banking services?,"To de-activate your Internet Banking account,  you may login to Internet Banking and go to Bank Accounts > Accounts > Service request (From left hand side menu ) > Internet/Mobile Banking Related > Request for De-activation of Internet Banking FacilityYour request will be completed in 1 working day. Post de-activation, you will not be able to login with your Internet Banking User ID and Password.",
How do I check my account balance ?,To check your Account balanceInternet Banking:Please login to www.icicibank.com with your User ID and Password  go to Bank Accounts > Accounts>Total Balance.,
"How to View/ Update Email, Mobile and Address?","{""title"":"""",""options"":[{""title"":""Update Email ID"",""content"":""2130380943"",""type"":""persist"",""kind"":""articleTitle"",""options"":[]},{""title"":""View/ Update mobile"",""content"":""2023211923"",""type"":""persist"",""kind"":""articleTitle"",""options"":[]},{""title"":""Address"",""content"":""What regarding address would you like to know"",""type"":""persist"",""kind"":""none"",""options"":[{""title"":""Update communication address"",""content"":""2064988573"",""type"":""persist"",""kind"":""articleTitle"",""options"":[]},{""title"":""Update permanent address"",""content"":""2124323123"",""type"":""persist"",""kind"":""articleTitle"",""options"":[]},{""title"":""Documents for updating address"",""content"":""2065021943"",""type"":""persist"",""kind"":""articleTitle"",""options"":[]},{""title"":""View communication address"",""content"":""For viewing communication address updated in your account, please go to OVERVIEW > PERSONAL DETAILS"",""type"":""persist"",""kind"":""none"",""options"":[]}]}],""content"":""Please select from below regarding your registered Email, Mobile and Address""}",
How can I register for the Paylater facility ?,"Currently, Paylater facilities are not available for NRIs.",
What is the advantage of UPI Funds transfer over other fund transfer mechanisms?,"UPI is a quick & easy way to send & receive money using a Virtual Payment Address (VPA) without entering additional bank information such as account number & IFSC code. Pleaseclick here nanorep://#UPI-menu to have a look on various UPI features.UPI service is instant and available 24X7, even on public/bank holidays. Customers can transfer funds in simple steps by providing the virtual payment address of the beneficiary. Also, there is no pre - registration required for the beneficiary.",
Why should I trust Money2India?,Money2India is brought to you by ICICI Bank - India's largest private sector bank and is the preferred choice of NRIs for over 16 years now. ICICI Bank has over 1.5 million NRI customers and processes over 2 lakh NRI transactions monthly.,
Where would the exchange rate be checked?,"Exchange rate can be checked on Logging in/Redirecting to Money2World website. On homepage, click on Exchange Rate Calculator tab.",
Can I select which card to be used in case I have more than one card tokenised?,"For performing any transaction, You are free to use any of the cards registered with the token requestor app/merchant.",
What is Tax Collected at Source (TCS) under Section 206C(1G)(a) – TCS on foreign remittance through Liberalized Remittance Scheme (LRS)?,"The Finance Act, 2020 has a new insertion in the Income Tax Act, 1961 (hereinafter referred to as “the Act”) for provision of TCS under Section 206C(1G)(a) i.e. TCS on foreign remittance through Liberalized Remittance Scheme (LRS). It should be noted that the Liberalized Remittance Scheme permits the resident individual to remit certain amount of money to another country for investment or expenditure purpose. As per the provision for TCS introduced by the Finance Act, 2020, TCS shall be applicable to those transactions which are covered under LRS. The authorized dealer receiving an amount for remittance under LRS scheme in excess of INR 7 lakhs in aggregate in a financial year from a single remitter is required to collect TCS at the rate of 5% of the amount remitted in excess of INR 7 lakhs (in cases where PAN or Aadhaar has been submitted by the remitter) and 10% of the amount remitted in excess of INR 7 lakhs (in case where PAN or Aadhaar has not been submitted by the remitter). The tax is required to be collected over and above the amount of cumulative remittance by a single remitter and the limit of INR 7 lakhs is to be tracked on yearly basis effective from April 1, 2020. Tax to be collected only on remittances taking place after October 1, 2020. From FY2021-22 onwards, tax to be collected on all remittances taking place from April 1, 2021 subject to INR 7 lakhs threshold limit.",
Why is the i-safe OTP not being accepted while entering the correct OTP?,"Even if you authenticate with the wrong password (6-digit numeric PIN), One Time Password (OTP) will be generated. However, the system will not accept the OTP as only the OTP generated with correct PIN will be accepted by the system.Hence, you may de-register for i-safe application and register freshly with new 6-digit numeric password.",
Where can I download my bank account statement?,Click here javascript:cmCodeRedirection('OPACC')  to get your account statements or navigate to:Accounts > Account Statement > Detailed Statement,
How can I create FCNR Deposit using Wire Transfer?,"If you are initiating a Wire Transfer for the purpose of FCNR booking, then please mention your ICICI bank Customer Id instead of 12 digit ICICI Bank Account number and in the additional information please mention the “Tenure for the FCNR deposit and the currency in which the FCNR deposit has to be booked”. FCNR deposits can be opened in 6 currencies (USD, GBP, AUD, CAD, SGD and HKD).",
How to convert from Resident to NRI account?,Please click here https://www.icicibank.com/nri-banking/faq/nri/new-nri-resident-account-conversion-faqs.page to know more about conversation of account to NRI.,
What is the process for existing customer to get access of tax payment on CIB?,Access to tax payment to existing customer  -  Raise request with Channel Registration Form and legal entity document through omniflow as per existing process. Forms can be downloaded from below path based on respective legal entity Universe > Business Groups > Retail Banking >Retail banking forms and Formats,
How do I add another bank Credit Card?,Go to Cards and Forex tab click on Other Bank Credit Card > Add a Card.,
Is there a maximum limit on the amount of money I can transfer through Account Transfer service?,"There is no maximum limit on transfers placed through our branches. The maximum limit for transfers placed online or mobile app is £25,000 per day to any bank account in India.",
Can I cancel my membership anytime ?,"When you first purchase the membership, you have a 30 day cooling off period when you can cancel the membership and receive a refund if no claims have been made.When you first purchase the membership, you have a 30 day cooling off period when you can cancel the membership and receive a refund if no claims have been made.",
Can I query on Online Assist about ATM cashwithdrawl done on a holiday?,"No, transactions conducted on non-banking day will have transaction date as next working day and are not listed for selection on the same day.Hence, you can raise the query on the next working wherein the transaction will be available for selection",
You are not authorized to perform this transaction. Please contact Bank Administrator.,This error message is seen as you have not been assigned the necessary access/control to perform this type of transaction as per the request submitted to the bank by your organization. Please contact your Bank Administrator for further clarity. You can also call our Customer Care or visit the nearest ICICI Bank for details.,
How do I collect my shipment from iBox ?,"You need to enter your registered mobile number and/or One Time Password (OTP) which is received through SMS. After verification, the respective iBox will open and you can collect your parcel and close the door of iBox.",
I have not received funds while doing a transaction through ICICI Bank ATM. What should I do now?,"If the cash is not received or less cash has been received from the ICICI Bank ATM, we request you to wait for 2 hours. The amount will be reversed to your account automatically. In case the disputed amount is not credited after 2 hours to your account, please call our Customer Care to register a complaint.To know NRI Customer Care numbers, please click here https://www.icicibank.com/nri-banking/RHStemp/contact-us.page",
How can I remove the temporary debit freeze on my account?,"You can contact our Customer Service Centre. You will be asked to answer some identity verification questions. Post successful verification, your request to remove the temporary debit freeze from your account will be processed.",
What is Rupee Plus Plan?,"Rupee Plus Plan is a special deposit devised to make your money work harder and smarter, so you can earn higher returns in Rupees.",
Will my fingerprint be stored by ICICI Bank UK PLC?,"No, your fingerprint will not be stored by us ICICI Bank UK PLC.",
What is a Cardless Cash Withdrawal transaction?,A Cardless Cash Withdrawal transaction enables the sender to transfer cash from an ICICI Bank account to anyone with a valid mobile number across India. The beneficiary can withdraw the amount from any specified ICICI Bank ATM without having to use an ATM or Debit Card. You can do this via iMobile Pay app. To learn more watchan iPlay video by clicking here https://www.youtube.com/embed/7wX0upGF5iQ?utm_source=iPal&utm_medium=iPlay_Videos&utm_campaign=iPlay+iPal?utm_source=iPal&utm_medium=iPlay_Videos&utm_campaign=iPlay+iPal .,
How can I convert/upgrade my account to The ONE Savings Account?,"Please Click here javascript:cmCodeRedirection('UPGRADESA') to upgrade your Savings Account online.You may also go to Customer Service > Service Requests > Bank Accounts > More > Account Details Modification Related > Account upgrade request.Note: You can upgrade your account to 'The One Account', subject to the eligibility criteria. Please Click Here https://www.icicibank.com/Personal-Banking/account-deposit/one-savings-account/terms-and-condition.page?#toptitle to know the MAB requirement for 'The One Account'.",
How can I check my the status of IMPS transactions?,Every successful IMPS transaction can be tracked by RRN Number or a Transaction reference number.Please click here javascript:cmCodeRedirection('CMPLTXN') to navigateYou may also go to Payments & Transfer > My Transactions > Completed Transactions > Search Transaction as Transfer Funds through IMPS > Select Debit Account Number to Get Transactions.,
What are the tax benefits of term life insurance?,You can avail Tax benefits on premiums paid under Section 80C in all plan options and 80D in Life & Health or All-in-one plan options. No Tax to be paid on claim amount under Section 10(10D),
Where can I find the Personal Loan EMI Calculator?,Please click here https://www.icicibank.com/calculator/index.page? to know the Personal Loan EMI Calculator.You may also visit www.icicibank.com > Rates and Charges (At bottom of the page) > Tools and Calculators.,
What is Standing Instruction ?,"{""title"":"""",""options"":[{""title"":""Schedule Fund Transfer"",""kind"":""articleTitle"",""type"":""quick"",""events"":[],""content"":""2153971533|How to schedule a fund transfer to an ICICI Bank payee? ""}],""content"":""Standing instruction is advisable in case of fixed regular payments. Through standing instruction you can give ICICI bank permission to auto debit your policy premium amount/loan periodically when it’s due. "",""isCTA"":true}",
Online overseas funds transfer transaction held by ICICI Bank for Incomplete / incorrect Beneficiary/ Beneficiary Bank Details,"In case your transaction is on hold due to beneficiary details like IBAN, SWIFT code, ABA routing number, BSB number being invalid, please follow the below steps and submit the clarity -  1. Login to ICICI Bank Internet Banking 2. Under Payment & Transfer, click on Fund transfer 3. Select the option – Overseas Transfers 4. Click on ‘Send Money Now’ 5. Against this transaction there will be an option of “Submit details’’ 6. Click on 'Submit Details” & then click Proceed 7. Click on modify the details of beneficiary and input correct details and then submit the transaction.",
I have paid the closure amount through cheque. What will be the effective closure date?,The loan closure date will be the cheque date.,
How will I access my Mobile Banking App if my fingerprint is not recognised?,"You will have 3 chances to authenticate using your fingerprint and if your fingerprint is not recognised, you will then be asked to enter your 6-digit M-PIN. If you continue to face this situation where your fingerprint is not recognised then you may have to re-add your fingerprint in your device.",
How do I link my loan account to my User ID?,"We request you to follow the below mentioned channels to link your loan account to your User ID.Internet Banking : Login to www.icicibank.com with user ID and password > Go to Customer Service > Service Requests > Loan > Link My Loan Accounts > Enter the required details and submit.Click here https://infinity.icicibank.com/corp/AuthenticationController?FORMSGROUP_ID__=AuthenticationFG&__START_TRAN_FLAG__=Y&FG_BUTTONS__=LOAD&ACTION.LOAD=Y&AuthenticationFG.LOGIN_FLAG=1&BANK_ID=ICI&CTA_FLAG=LINKLOAN to navigate.Mobile Banking: You can link your loan account through the ""Services"" icon available on iMobile Pay.",
What is EMV?,"EMV (stands for Europay, MasterCard and Visa) is the global standard for credit, debit, and prepaid card payments using the chip card technology. EMV chip-based payment card is a secure alternative to traditional magnetic stripe payment cards.As per RBI guidelines, we are enabling our ATMs with Europay, Mastercard and Visa (EMV) technology as an additional security measure which is aimed at preventing fraudulent use.",
What is ICICI Bank Bill Payment?,"This is a facility to make online payment of your bills like Telephone, Electricity, Mobile, Insurance etc. We have a tie-up with more than 50 billers to help you pay your bills online.You need to have any of the following:ICICI Bank A/cICICI Bank Credit Card (Select Billers only)",
How to update email address on Pockets ?,"{""title"":"""",""options"":[{""title"":""Demo Video"",""kind"":""url"",""type"":""quick"",""events"":[],""content"":""https://youtu.be/6EGbA6h1BmU""}],""content"":""Now update your email address registered on ICICI Bank Pockets app in a few simple, quick and hassle-free steps."",""isCTA"":true}",
What is P2A - Person to Account Fund Transfer?,Enables funds transfer from remitter BC account to beneficiary account using IFSC and Account Number details of Beneficiary.,
What is de-tokenisation?,Conversion of the token back to actual card details is known as de-tokenisation.,
How do I apply for Young Stars Savings Account?,"You can open and operate the account to plan your child’s need, right from a young age.Please click here https://www.icicibank.com/Personal-Banking/account-deposit/young-stars/index.page?&_ga=2.205049360.1605205907.1601279525-1157075134.1600750623#toptitle to apply for Young Stars Savings Account.",
What is BizCircle ?,"{""title"":"""",""options"":[{""title"":""Demo Video"",""kind"":""url"",""type"":""quick"",""events"":[],""content"":""https://youtu.be/bLwJ1Zt0w6c""}],""content"":""Learn how to use BizCircle on ICICI Bank InstaBIZ App "",""isCTA"":true}",
